id,username,firstName,lastName,email,password,phone,userStatus,statusCode,scenario
1,user1,John,Doe,johndoe1@gmail.com,pass1,1234567890,available,500,Server error responses: Internal Server Error
2,user2,Jane,Doe,janedoe2@gmail.com,pass2,2345678901,pending,500,Server error responses: Internal Server Error
3,user3,James,Smith,jamessmith3@gmail.com,pass3,3456789012,sold,500,Server error responses: Internal Server Error
4,user4,Jessica,Smith,jessicasmith4@gmail.com,pass4,4567890123,available,500,Server error responses: Internal Server Error
5,user5,Robert,Johnson,robertjohnson5@gmail.com,pass5,5678901234,pending,500,Server error responses: Internal Server Error
6,user6,Mary,Johnson,maryjohnson6@gmail.com,pass6,6789012345,sold,500,Server error responses: Internal Server Error
7,user7,Michael,Williams,michaelwilliams7@gmail.com,pass7,7890123456,available,500,Server error responses: Internal Server Error
8,user8,Sarah,Williams,sarahwilliams8@gmail.com,pass8,8901234567,pending,500,Server error responses: Internal Server Error
9,user9,David,Brown,davidbrown9@gmail.com,pass9,9012345678,sold,500,Server error responses: Internal Server Error
10,user10,Emily,Brown,emilybrown10@gmail.com,pass10,0123456789,available,500,Server error responses: Internal Server Error
